Date,Close,High,Low,Open,Volume
2026-06-11,411.75,420.0,410.5,419.75,315342
2026-06-12,412.75,417.0,408.5,411.75,206777
2026-06-15,415.5,416.75,406.25,411.75,200373
2026-06-16,413.75,421.0,412.5,415.0,275994
2026-06-17,421.0,421.75,412.25,414.25,197785
2026-06-18,417.5,422.0,415.0,419.75,179735
2026-06-22,411.5,418.0,411.25,417.5,211745
2026-06-23,409.75,414.5,407.0,411.5,200271
2026-06-24,407.0,412.5,405.75,410.0,166823
2026-06-25,414.75,416.0,403.75,406.0,214854
2026-06-26,412.75,417.5,411.25,414.25,258009
2026-06-29,402.0,412.5,398.5,412.5,131331
2026-06-30,412.75,415.5,400.5,402.0,17806
2026-07-01,421.0,422.25,412.25,413.75,4203
2026-07-02,425.0,428.25,421.0,422.0,3122
2026-07-06,440.75,441.5,430.0,430.0,978
2026-07-07,442.5,444.5,437.25,441.0,1098
2026-07-08,434.75,443.75,434.25,442.25,492
2026-07-09,427.75,435.0,427.75,434.0,1502
2026-07-10,438.0,438.25,428.0,428.5,271
2026-07-13,437.75,447.75,437.75,441.0,195
2026-07-14,433.75,441.0,432.5,439.75,88277
2026-07-15,447.5,449.0,437.0,438.0,153312
2026-07-16,441.5,452.0,440.25,446.75,127513
2026-07-17,444.75,445.5,436.0,441.0,105384
2026-07-20,449.5,452.5,447.0,449.0,154388
2026-07-21,452.75,453.75,445.5,447.0,104323
2026-07-22,462.0,463.0,452.0,452.25,104323
2026-07-23,484.75,486.0,483.0,483.0,16304
