Date,Close,High,Low,Open,Volume,Daily_Return,MA_20,MA_50,MA_100,Volatility_20
2026-06-25,414.75,416.0,403.75,406.0,214854,1.9041769041769019,422.65,445.075,443.8475,1.15088946466429
2026-06-26,412.75,417.5,411.25,414.25,258009,-0.4822182037371947,420.5,444.305,443.7175,1.1188027288616216
2026-06-29,402.0,412.5,398.5,412.5,131331,-2.604482132041186,418.2625,443.375,443.4525,1.1705024323389648
2026-06-30,412.75,415.5,400.5,402.0,17806,2.674129353233834,416.7,442.655,443.285,1.370410906927092
2026-07-01,421.0,422.25,412.25,413.75,4203,1.9987886129618326,415.725,442.035,443.145,1.4626681509847623
2026-07-02,425.0,428.25,421.0,422.0,3122,0.9501187648456089,415.4,441.46,443.0925,1.4183367358114602
2026-07-06,440.75,441.5,430.0,430.0,978,3.705882352941181,416.2125,441.19,443.2125,1.599523881561617
2026-07-07,442.5,444.5,437.25,441.0,1098,0.3970504821327214,417.4625,440.93,443.35,1.5393337576520885
2026-07-08,434.75,443.75,434.25,442.25,492,-1.7514124293785294,418.2625,440.525,443.4225,1.606388858214568
2026-07-09,427.75,435.0,427.75,434.0,1502,-1.6101207590569322,418.675,439.865,443.3875,1.6566406769600912
2026-07-10,438.0,438.25,428.0,428.5,271,2.396259497369968,419.625,439.32,443.45,1.7320636191638166
2026-07-13,437.75,447.75,437.75,441.0,195,-0.057077625570778334,420.925,438.745,443.565,1.6714293228925392
2026-07-14,433.75,441.0,432.5,439.75,88277,-0.913763563677894,421.975,438.125,443.6325,1.6940882098377266
2026-07-15,447.5,449.0,437.0,438.0,153312,3.170028818443793,423.575,437.71,443.85,1.813815065490502
2026-07-16,441.5,452.0,440.25,446.75,127513,-1.3407821229050265,424.9625,437.065,443.99,1.846742469978479
2026-07-17,444.75,445.5,436.0,441.0,105384,0.7361268403170973,426.15,436.65,444.1625,1.8196576540070244
2026-07-20,449.5,452.5,447.0,449.0,154388,1.0680157391793177,427.75,436.585,444.38,1.8075562980666562
2026-07-21,452.75,453.75,445.5,447.0,104323,0.7230255839822064,429.8125,436.585,444.6025,1.7567492544909336
2026-07-22,462.0,463.0,452.0,452.25,104323,2.043070127001667,432.425,436.7,444.89,1.7754204331984922
2026-07-23,484.75,486.0,483.0,483.0,16304,4.924242424242431,436.3125,437.18,445.35,1.9897139556963281
